market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,exception
Great Britain,2023,peak_shaving,-0.4392,-0.5375,-0.2943,-0.407,-0.1965,EUR,2234.6,108.0,1.2165,0.9758,
Great Britain,2023,valley_filling,0.6075,0.3098,1.1593,0.563,0.2719,EUR,2234.6,108.0,1.2165,0.8424,
Great Britain,2023,volatility,-0.3078,-0.4501,-0.2321,-0.285,-0.1377,EUR,2234.6,108.0,1.2165,0.9951,
Great Britain,2023,mean,0.0988,0.0346,0.1983,0.092,0.0442,EUR,2234.6,108.0,1.2165,0.9951,
Great Britain,2024,daily_spread,-4.264,-5.4624,-3.4317,-4.969,-1.6718,EUR,2550.5,85.81,1.1995,0.9879,
Great Britain,2024,peak_shaving,-0.698,-1.0434,-0.4282,-0.813,-0.2737,EUR,2550.5,85.81,1.1995,0.9879,
Great Britain,2024,valley_filling,1.6341,0.8354,2.3061,1.904,0.6407,EUR,2550.5,85.81,1.1995,0.9515,
Great Britain,2024,volatility,-0.6924,-0.8841,-0.4922,-0.807,-0.2715,EUR,2550.5,85.81,1.1995,0.9942,
Great Britain,2024,mean,0.3852,0.2227,0.5099,0.449,0.151,EUR,2550.5,85.81,1.1995,0.9942,
Great Britain,2025,daily_spread,-8.1969,-10.0617,-6.9311,-8.687,-2.0852,EUR,3931.0,94.36,1.1925,1.0,
Great Britain,2025,peak_shaving,-1.8653,-2.7598,-0.9908,-1.977,-0.4745,EUR,3931.0,94.36,1.1925,1.0,
Great Britain,2025,valley_filling,3.2633,2.5354,4.068,3.458,0.8302,EUR,3931.0,94.36,1.1925,1.0,
Great Britain,2025,volatility,-1.4434,-1.7344,-1.1965,-1.53,-0.3672,EUR,3931.0,94.36,1.1925,0.9992,
Great Britain,2025,mean,0.6392,0.4795,0.8152,0.677,0.1626,EUR,3931.0,94.36,1.1925,0.9992,
NSW1,2022,daily_spread,-1.4369,-1.9881,-1.2335,-0.786,-23.9482,AUD,60.0,182.71,1.2117,1.0,
NSW1,2022,peak_shaving,-0.4332,-0.8079,-0.252,-0.237,-7.2208,AUD,60.0,182.71,1.2117,1.0,
NSW1,2022,valley_filling,0.2633,0.2346,0.3483,0.144,4.3891,AUD,60.0,182.71,1.2117,1.0,
NSW1,2022,volatility,-0.1826,-0.3213,-0.1247,-0.1,-3.0441,AUD,60.0,182.71,1.2117,0.9962,
NSW1,2022,mean,-0.0197,-0.0573,0.017,-0.011,-0.3287,AUD,60.0,182.71,1.2117,0.9962,
NSW1,2023,daily_spread,-2.2918,-3.4361,-1.7537,-2.389,-5.4437,AUD,421.0,95.94,1.2503,0.9879,
NSW1,2023,peak_shaving,-0.966,-1.6608,-0.5794,-1.007,-2.2945,AUD,421.0,95.94,1.2503,0.9879,
NSW1,2023,valley_filling,0.7017,0.595,0.8216,0.731,1.6668,AUD,421.0,95.94,1.2503,0.9758,
NSW1,2023,volatility,-0.2391,-0.3619,-0.1694,-0.249,-0.5678,AUD,421.0,95.94,1.2503,0.9976,
NSW1,2023,mean,-0.0241,-0.1146,0.0235,-0.025,-0.0574,AUD,421.0,95.94,1.2503,0.9976,
NSW1,2024,daily_spread,-13.304,-24.0295,-8.1131,-10.154,-8.7711,AUD,1516.8,131.02,1.2617,0.7818,
NSW1,2024,peak_shaving,-5.2236,-10.4556,-2.1189,-3.987,-3.4438,AUD,1516.8,131.02,1.2617,0.7818,
NSW1,2024,valley_filling,1.1374,0.9882,1.2896,0.868,0.7499,AUD,1516.8,131.02,1.2617,1.0,
NSW1,2024,volatility,-0.7475,-2.0295,-0.3766,-0.571,-0.4928,AUD,1516.8,131.02,1.2617,0.9912,
NSW1,2024,mean,-0.4387,-1.081,0.0086,-0.335,-0.2892,AUD,1516.8,131.02,1.2617,0.9912,
NSW1,2025,daily_spread,-20.6738,-38.2583,-9.1775,-20.009,-5.8468,AUD,3535.9,103.32,1.4006,0.9273,
NSW1,2025,peak_shaving,-12.226,-24.1126,-2.4539,-11.833,-3.4577,AUD,3535.9,103.32,1.4006,0.9273,
NSW1,2025,valley_filling,1.1555,0.8311,1.5508,1.118,0.3268,AUD,3535.9,103.32,1.4006,0.9879,
NSW1,2025,volatility,-2.1938,-4.7549,-0.7841,-2.123,-0.6204,AUD,3535.9,103.32,1.4006,0.9904,
NSW1,2025,mean,-1.1952,-2.752,0.1029,-1.157,-0.338,AUD,3535.9,103.32,1.4006,0.9904,
QLD1,2022,daily_spread,-8.6038,-12.4842,-5.0058,-4.194,-67.7464,AUD,127.0,205.14,1.2711,0.9636,
QLD1,2022,peak_shaving,-2.591,-4.2092,-0.9999,-1.263,-20.4017,AUD,127.0,205.14,1.2711,0.9636,
QLD1,2022,valley_filling,0.9581,0.7696,1.188,0.467,7.5439,AUD,127.0,205.14,1.2711,1.0,
QLD1,2022,volatility,-0.708,-1.0981,-0.2629,-0.345,-5.5747,AUD,127.0,205.14,1.2711,0.9749,
QLD1,2022,mean,-0.4678,-0.8195,-0.148,-0.228,-3.6838,AUD,127.0,205.14,1.2711,0.9749,
QLD1,2023,daily_spread,-4.6445,-7.1834,-3.3868,-5.123,-14.16,AUD,328.0,90.67,1.1934,0.9879,
QLD1,2023,peak_shaving,-2.3026,-3.4188,-1.4286,-2.54,-7.02,AUD,328.0,90.67,1.1934,0.9879,
QLD1,2023,valley_filling,0.7,0.5874,0.838,0.772,2.1342,AUD,328.0,90.67,1.1934,1.0,
QLD1,2023,volatility,-0.5183,-0.847,-0.3912,-0.572,-1.5803,AUD,328.0,90.67,1.1934,0.9974,
QLD1,2023,mean,-0.2555,-0.4869,-0.1136,-0.282,-0.779,AUD,328.0,90.67,1.1934,0.9974,
QLD1,2024,daily_spread,-26.01,-41.0078,-16.6859,-23.331,-23.0279,AUD,1129.5,111.48,1.227,0.9394,
QLD1,2024,peak_shaving,-13.101,-19.9993,-7.9382,-11.752,-11.599,AUD,1129.5,111.48,1.227,0.9394,
QLD1,2024,valley_filling,1.7383,1.5074,2.0891,1.559,1.539,AUD,1129.5,111.48,1.227,1.0,
QLD1,2024,volatility,-2.9713,-5.737,-1.4637,-2.665,-2.6306,AUD,1129.5,111.48,1.227,0.997,
QLD1,2024,mean,-1.6394,-2.7352,-0.8889,-1.471,-1.4514,AUD,1129.5,111.48,1.227,0.997,
QLD1,2025,daily_spread,-62.1751,-128.2804,-15.9283,-73.243,-23.885,AUD,2603.1,84.89,1.2051,0.9152,
QLD1,2025,peak_shaving,-26.7108,-51.8036,-6.2254,-31.465,-10.2611,AUD,2603.1,84.89,1.2051,0.9152,
QLD1,2025,valley_filling,1.9589,1.4088,2.8351,2.308,0.7525,AUD,2603.1,84.89,1.2051,0.9879,
QLD1,2025,volatility,-4.7435,-10.6369,-1.842,-5.588,-1.8222,AUD,2603.1,84.89,1.2051,0.9981,
QLD1,2025,mean,-4.5797,-9.481,-0.557,-5.395,-1.7593,AUD,2603.1,84.89,1.2051,0.9981,
SA1,2020,daily_spread,-2.1916,-3.44,-1.5673,-5.039,-10.6906,AUD,205.0,43.49,1.2296,0.7212,
SA1,2020,peak_shaving,-0.4438,-1.1854,-0.0678,-1.02,-2.1649,AUD,205.0,43.49,1.2296,0.7212,
SA1,2020,valley_filling,0.9626,0.6395,1.1961,2.213,4.6954,AUD,205.0,43.49,1.2296,0.9879,
SA1,2020,volatility,-0.1666,-0.4658,0.351,-0.383,-0.8128,AUD,205.0,43.49,1.2296,0.9765,
SA1,2020,mean,0.1144,0.003,0.18,0.263,0.5578,AUD,205.0,43.49,1.2296,0.9765,
SA1,2021,daily_spread,-7.4035,-12.0835,-5.261,-14.601,-34.3072,AUD,215.8,50.71,1.2533,0.9394,
SA1,2021,peak_shaving,-3.2657,-5.3563,-1.5943,-6.44,-15.1329,AUD,215.8,50.71,1.2533,0.9394,
SA1,2021,valley_filling,1.4424,1.1233,1.8159,2.845,6.6838,AUD,215.8,50.71,1.2533,0.8424,
SA1,2021,volatility,-0.8376,-1.5811,-0.5433,-1.652,-3.8815,AUD,215.8,50.71,1.2533,0.9889,
SA1,2021,mean,-0.0221,-0.2591,0.1892,-0.044,-0.1023,AUD,215.8,50.71,1.2533,0.9889,
SA1,2022,daily_spread,-13.009,-17.6211,-10.5526,-8.345,-58.3625,AUD,222.9,155.89,1.2699,0.9273,
SA1,2022,peak_shaving,-3.0454,-5.7964,-1.1814,-1.954,-13.6627,AUD,222.9,155.89,1.2699,0.9273,
SA1,2022,valley_filling,1.3342,0.9511,1.9417,0.856,5.9858,AUD,222.9,155.89,1.2699,0.8545,
SA1,2022,volatility,-1.5216,-2.8292,-0.8963,-0.976,-6.8266,AUD,222.9,155.89,1.2699,0.9932,
SA1,2022,mean,-0.1853,-0.6284,0.1154,-0.119,-0.8315,AUD,222.9,155.89,1.2699,0.9932,
SA1,2023,daily_spread,-14.392,-21.0122,-10.0483,-17.974,-27.5235,AUD,522.9,80.07,1.3404,0.9636,
SA1,2023,peak_shaving,-6.0984,-10.1344,-2.5033,-7.616,-11.6626,AUD,522.9,80.07,1.3404,0.9636,
SA1,2023,valley_filling,2.0652,1.5825,2.598,2.579,3.9495,AUD,522.9,80.07,1.3404,0.8667,
SA1,2023,volatility,-1.8395,-3.1246,-1.0681,-2.297,-3.518,AUD,522.9,80.07,1.3404,0.9966,
SA1,2023,mean,-0.5013,-1.0734,0.0259,-0.626,-0.9587,AUD,522.9,80.07,1.3404,0.9966,
SA1,2024,daily_spread,-52.7989,-88.7569,-34.6565,-52.739,-65.6784,AUD,803.9,100.11,1.3413,0.9879,
SA1,2024,peak_shaving,-30.8103,-51.9765,-14.7788,-30.776,-38.326,AUD,803.9,100.11,1.3413,0.9879,
SA1,2024,valley_filling,4.6179,3.7126,5.5851,4.613,5.7443,AUD,803.9,100.11,1.3413,0.9394,
SA1,2024,volatility,-9.1217,-17.4532,-3.6101,-9.111,-11.3469,AUD,803.9,100.11,1.3413,0.9972,
SA1,2024,mean,-3.5117,-6.5501,-1.2918,-3.508,-4.3683,AUD,803.9,100.11,1.3413,0.9972,
SA1,2025,daily_spread,-83.1669,-165.5698,-38.3026,-95.89,-59.7507,AUD,1391.9,86.73,1.2474,1.0,
SA1,2025,peak_shaving,-52.1174,-112.1016,-15.758,-60.09,-37.4434,AUD,1391.9,86.73,1.2474,1.0,
SA1,2025,valley_filling,4.8275,3.9202,5.6221,5.566,3.4683,AUD,1391.9,86.73,1.2474,0.7455,
SA1,2025,volatility,-11.9212,-27.8603,-3.8818,-13.745,-8.5647,AUD,1391.9,86.73,1.2474,0.9931,
SA1,2025,mean,-7.8885,-15.5828,-2.6749,-9.095,-5.6674,AUD,1391.9,86.73,1.2474,0.9931,
VIC1,2020,daily_spread,-0.9827,-2.2472,-0.3489,-1.894,-16.3782,AUD,60.0,51.89,1.2197,0.9758,
VIC1,2020,peak_shaving,-0.8129,-2.115,-0.1325,-1.567,-13.5487,AUD,60.0,51.89,1.2197,0.9758,
VIC1,2020,valley_filling,0.1421,0.1119,0.1711,0.274,2.3678,AUD,60.0,51.89,1.2197,0.9879,
VIC1,2020,volatility,-0.0994,-0.3189,-0.0448,-0.192,-1.6563,AUD,60.0,51.89,1.2197,0.9977,
VIC1,2020,mean,-0.0696,-0.2206,0.0164,-0.134,-1.1606,AUD,60.0,51.89,1.2197,0.9977,
VIC1,2021,daily_spread,-1.1708,-1.5543,-0.9122,-2.607,-2.637,AUD,444.0,44.91,1.2691,0.9879,
VIC1,2021,peak_shaving,-0.5864,-0.9322,-0.3982,-1.306,-1.3208,AUD,444.0,44.91,1.2691,0.9879,
VIC1,2021,valley_filling,0.2776,0.2068,0.3636,0.618,0.6253,AUD,444.0,44.91,1.2691,0.9879,
VIC1,2021,volatility,-0.1462,-0.1883,-0.1272,-0.326,-0.3293,AUD,444.0,44.91,1.2691,0.9992,
VIC1,2021,mean,-0.0146,-0.0521,0.0152,-0.033,-0.0329,AUD,444.0,44.91,1.2691,0.9992,
VIC1,2022,daily_spread,-13.3773,-17.6344,-10.7371,-9.978,-30.1289,AUD,444.0,134.06,1.2096,0.9879,
VIC1,2022,peak_shaving,-3.9561,-5.819,-2.2918,-2.951,-8.9101,AUD,444.0,134.06,1.2096,0.9879,
VIC1,2022,valley_filling,2.075,1.5225,2.4976,1.548,4.6733,AUD,444.0,134.06,1.2096,0.9879,
VIC1,2022,volatility,-1.9337,-2.5927,-1.488,-1.442,-4.3551,AUD,444.0,134.06,1.2096,0.9981,
VIC1,2022,mean,-0.1939,-0.5286,0.081,-0.145,-0.4367,AUD,444.0,134.06,1.2096,0.9981,
VIC1,2023,daily_spread,-6.7903,-8.4094,-5.9425,-12.396,-10.4306,AUD,651.0,54.78,1.2208,1.0,
VIC1,2023,peak_shaving,-2.8473,-4.0943,-1.9707,-5.198,-4.3738,AUD,651.0,54.78,1.2208,1.0,
VIC1,2023,valley_filling,1.1406,0.9203,1.4317,2.082,1.7521,AUD,651.0,54.78,1.2208,0.6727,
VIC1,2023,volatility,-1.1568,-1.4302,-0.9955,-2.112,-1.777,AUD,651.0,54.78,1.2208,0.9946,
VIC1,2023,mean,-0.1167,-0.2713,0.0026,-0.213,-0.1792,AUD,651.0,54.78,1.2208,0.9946,
VIC1,2024,daily_spread,-20.9495,-42.3377,-11.2158,-25.508,-22.9961,AUD,911.0,82.13,1.2472,0.9758,
VIC1,2024,peak_shaving,-9.5819,-21.0081,-2.8488,-11.667,-10.518,AUD,911.0,82.13,1.2472,0.9758,
VIC1,2024,valley_filling,1.6503,1.2115,1.8628,2.009,1.8115,AUD,911.0,82.13,1.2472,0.8788,
VIC1,2024,volatility,-1.7003,-5.5256,-0.718,-2.07,-1.8664,AUD,911.0,82.13,1.2472,0.9974,
VIC1,2024,mean,-0.8439,-2.2462,-0.0657,-1.028,-0.9264,AUD,911.0,82.13,1.2472,0.9974,
VIC1,2025,daily_spread,-59.8061,-104.306,-23.9764,-76.787,-31.7274,AUD,1885.0,77.89,1.2108,1.0,
VIC1,2025,peak_shaving,-43.0481,-79.6727,-11.4022,-55.271,-22.8372,AUD,1885.0,77.89,1.2108,1.0,
VIC1,2025,valley_filling,2.4247,1.7977,3.0377,3.113,1.2863,AUD,1885.0,77.89,1.2108,0.8061,
VIC1,2025,volatility,-7.3816,-15.1861,-4.1178,-9.477,-3.916,AUD,1885.0,77.89,1.2108,0.997,
VIC1,2025,mean,-4.5576,-8.8634,-0.9281,-5.852,-2.4178,AUD,1885.0,77.89,1.2108,0.997,
